Symbol,Quantity,Filled Qty,Type,Side,Stop Price,Filled Avg Price,Status,Submitted At,Filled At
WM,108,108.0,market,buy,,161.07,filled,2023-08-07 19:28:10.990660825+00:00,2023-08-07 19:28:11.307907460+00:00
VRTX,51,51.0,market,sell,,345.43,filled,2023-08-07 19:28:10.902552031+00:00,2023-08-07 19:28:12.674676603+00:00
VMW,110,110.0,market,buy,,159.72,filled,2023-08-07 19:28:10.808600899+00:00,2023-08-07 19:28:11.836192659+00:00
UNH,34,34.0,market,sell,,510.95,filled,2023-08-07 19:28:10.714935266+00:00,2023-08-07 19:28:11.214233567+00:00
SCHW,268,268.0,market,sell,,65.8,filled,2023-08-07 19:28:10.630602333+00:00,2023-08-07 19:28:12.697083381+00:00
SBUX,173,173.0,market,sell,,101.12,filled,2023-08-07 19:28:10.531515290+00:00,2023-08-07 19:28:11.734230636+00:00
RTX,206,206.0,market,sell,,85.47,filled,2023-08-07 19:28:10.460961916+00:00,2023-08-07 19:28:11.258360634+00:00
REGN,22,22.0,market,sell,,779.53,filled,2023-08-07 19:28:10.342302835+00:00,2023-08-07 19:28:10.637920732+00:00
QCOM,143,143.0,market,buy,,118.67,filled,2023-08-07 19:28:10.251976892+00:00,2023-08-07 19:28:12.104624158+00:00
PM,181,181.0,market,sell,,97.213867,filled,2023-08-07 19:28:10.150530220+00:00,2023-08-07 19:28:11.719807638+00:00
PG,112,112.0,market,buy,,156.71,filled,2023-08-07 19:28:09.956430325+00:00,2023-08-07 19:28:10.877724073+00:00
PEP,94,94.0,market,sell,,186.85,filled,2023-08-07 19:28:09.868611902+00:00,2023-08-07 19:28:10.812081188+00:00
MSFT,53,53.0,market,buy,,329.59434,filled,2023-08-07 19:28:09.765249500+00:00,2023-08-07 19:28:14.316503505+00:00
MMM,165,165.0,market,buy,,105.08,filled,2023-08-07 19:28:09.668385678+00:00,2023-08-07 19:28:12.709970751+00:00
MAR,85,85.0,market,sell,,204.87,filled,2023-08-07 19:28:09.581090364+00:00,2023-08-07 19:28:09.831119865+00:00
LRCX,25,25.0,market,sell,,702.27,filled,2023-08-07 19:28:09.498804371+00:00,2023-08-07 19:28:12.755332887+00:00
LIN,46,46.0,market,sell,,385.57,filled,2023-08-07 19:28:09.402545738+00:00,2023-08-07 19:28:11.846840758+00:00
JPM,111,111.0,market,buy,,156.75,filled,2023-08-07 19:28:09.297052347+00:00,2023-08-07 19:28:11.445835129+00:00
ICE,152,152.0,market,sell,,115.71,filled,2023-08-07 19:28:09.193666365+00:00,2023-08-07 19:28:09.789468738+00:00
IBM,120,120.0,market,sell,,146.16,filled,2023-08-07 19:28:09.101380362+00:00,2023-08-07 19:28:12.075399530+00:00
HON,92,92.0,market,buy,,189.51,filled,2023-08-07 19:28:09.002288410+00:00,2023-08-07 19:28:11.344728477+00:00
DUK,194,194.0,market,sell,,89.66,filled,2023-08-07 19:28:08.922461756+00:00,2023-08-07 19:28:10.731086185+00:00
CSCO,330,330.0,market,buy,,52.95,filled,2023-08-07 19:28:08.826441653+00:00,2023-08-07 19:28:09.293529467+00:00
CRM,81,81.0,market,buy,,215.52321,filled,2023-08-07 19:28:08.716369032+00:00,2023-08-07 19:28:09.868971082+00:00
COST,31,31.0,market,buy,,558.06,filled,2023-08-07 19:28:08.617947390+00:00,2023-08-07 19:28:10.078223666+00:00
CL,228,228.0,market,buy,,76.71,filled,2023-08-07 19:28:08.534543296+00:00,2023-08-07 19:28:09.367650721+00:00
CB,86,86.0,market,sell,,203.28,filled,2023-08-07 19:28:08.434221564+00:00,2023-08-07 19:28:10.545940259+00:00
C,381,381.0,market,buy,,45.67,filled,2023-08-07 19:28:08.318629523+00:00,2023-08-07 19:28:09.924969408+00:00
BMY,287,287.0,market,buy,,60.32,filled,2023-08-07 19:28:08.214604791+00:00,2023-08-07 19:28:09.410671688+00:00
BLK,24,24.0,market,sell,,712.14,filled,2023-08-07 19:28:08.115693699+00:00,2023-08-07 19:28:10.070784196+00:00
BAC,556,556.0,market,sell,,31.75,filled,2023-08-07 19:28:08.020551616+00:00,2023-08-07 19:28:09.506723050+00:00
AMAT,119,119.0,market,sell,,150.033277,filled,2023-08-07 19:28:07.935958473+00:00,2023-08-07 19:28:10.218820015+00:00
ACN,55,55.0,market,buy,,314.965455,filled,2023-08-07 19:28:07.830768231+00:00,2023-08-07 19:28:12.450394431+00:00
AAPL,95,95.0,market,buy,,178.44,filled,2023-08-07 19:28:07.724355719+00:00,2023-08-07 19:28:08.644779008+00:00
ORLY,18,18.0,trailing_stop,buy,936.75985,937.0,filled,2023-08-07 17:43:10.567955+00:00,2023-08-07 17:43:12.273953+00:00
PFE,497,497.0,trailing_stop,buy,35.249,35.25,filled,2023-08-07 17:10:54.307848+00:00,2023-08-07 17:10:56.198013+00:00
ELV,37,37.0,trailing_stop,buy,469.98835,470.3,filled,2023-08-07 15:30:09.454824+00:00,2023-08-07 15:30:14.120899+00:00
TGT,131,131.0,trailing_stop,sell,132.361317,132.36,filled,2023-08-07 15:16:31.211282+00:00,2023-08-07 15:16:32.014533+00:00
NEE,251,251.0,trailing_stop,sell,69.02775,69.02,filled,2023-08-07 14:58:57.191270+00:00,2023-08-07 14:58:58.001732+00:00
MNST,316,316.0,trailing_stop,sell,55.7469,55.75,filled,2023-08-07 14:52:15.160196+00:00,2023-08-07 14:52:16.567368+00:00
CME,84,84.0,trailing_stop,buy,207.590653,207.64,filled,2023-08-07 14:32:28.256102+00:00,2023-08-07 14:32:28.900570+00:00
