Symbol,First Action,Last Action,Total Quantity,Profit
A,2023-08-08 13:32:05.763641+00:00,2023-08-08 13:43:14.429164+00:00,810.0,-164.69999999999985
AAPL,2023-08-04 13:49:10.994322+00:00,2023-08-08 17:16:10.249974+00:00,652.0,590.7900049999996
ABNB,2023-08-03 13:32:04.258086+00:00,2023-08-04 14:06:04.874466+00:00,730.0,-101.75404499999871
ABT,2023-08-04 13:49:10.062047+00:00,2023-08-04 19:58:17.521947+00:00,486.0,62.32998600000286
ACN,2023-08-07 13:32:38.991893+00:00,2023-08-08 18:35:14.715566+00:00,218.0,-57.334594999999354
ADP,2023-08-03 13:31:44.282521+00:00,2023-08-04 19:58:16.107554+00:00,420.0,129.86000999999987
AMAT,2023-08-07 13:31:30.494513+00:00,2023-08-08 13:45:23.559818+00:00,464.0,350.1702640000025
AVGO,2023-08-03 13:31:52.166229+00:00,2023-08-04 15:42:20.354094+00:00,116.0,-133.40000000000066
AXP,2023-08-03 13:31:08.708475+00:00,2023-08-04 18:44:17.707418+00:00,626.0,-136.18885000000563
BA,2023-08-03 13:31:21.420425+00:00,2023-08-04 19:48:08.316975+00:00,450.0,-223.3691000000039
BAC,2023-08-03 13:31:13.188866+00:00,2023-08-08 13:35:25.003695+00:00,5524.0,-9.980157999997743
BLK,2023-08-07 13:32:06.969422+00:00,2023-08-07 19:28:10.070784+00:00,48.0,-111.35999999999967
BMY,2023-08-07 13:32:23.612068+00:00,2023-08-07 19:28:09.410672+00:00,574.0,91.84000000000009
C,2023-08-03 13:30:56.549920+00:00,2023-08-08 16:16:28.621874+00:00,3766.0,-146.75142800000486
CB,2023-08-07 13:31:57.478015+00:00,2023-08-08 13:57:56.060588+00:00,340.0,-14.060015999998086
CHTR,2023-08-07 13:31:42.460098+00:00,2023-08-08 19:58:28.862150+00:00,162.0,-237.47999999999672
CI,2023-08-03 13:30:43.360779+00:00,2023-08-04 18:41:40.194771+00:00,354.0,-1036.0200690000024
CL,2023-08-07 13:32:16.647845+00:00,2023-08-08 19:58:31.337687+00:00,900.0,181.72018200000437
CME,2023-08-07 13:32:47.266797+00:00,2023-08-08 19:58:30.026583+00:00,332.0,-68.73999999999859
COST,2023-08-03 13:31:26.074547+00:00,2023-08-08 19:58:29.640773+00:00,308.0,-183.80323699999815
CRM,2023-08-03 13:32:07.383138+00:00,2023-08-08 19:58:32.441979+00:00,556.0,-35.76359999999977
CSCO,2023-08-07 13:32:42.234491+00:00,2023-08-08 17:16:03.360280+00:00,1304.0,-115.60000000000211
CVS,2023-08-03 13:30:51.093208+00:00,2023-08-04 17:27:43.361140+00:00,1386.0,-297.0142649999915
DHR,2023-08-03 13:32:18.709521+00:00,2023-08-04 19:58:15.130512+00:00,302.0,-99.15637700000133
DUK,2023-08-07 13:31:17.892934+00:00,2023-08-08 13:40:03.352661+00:00,768.0,-211.3500900000031
ELV,2023-08-03 13:30:47.756985+00:00,2023-08-08 13:39:06.101859+00:00,366.0,-1435.4500480000006
EOG,2023-08-08 13:32:50.220586+00:00,2023-08-08 15:20:50.527784+00:00,268.0,-160.80000000000038
FCX,2023-08-07 13:31:03.891987+00:00,2023-08-08 19:58:30.308765+00:00,1626.0,975.4299999999978
GE,2023-08-03 13:31:03.551250+00:00,2023-08-04 19:58:17.136265+00:00,930.0,410.39040999999884
GIL,2023-08-08 13:32:30.304041+00:00,2023-08-08 17:02:32.283670+00:00,1092.0,169.2599999999993
GS,2023-08-03 13:30:44.486969+00:00,2023-08-04 18:44:11.498966+00:00,294.0,-347.21687500000496
H,2023-08-07 13:32:21.087903+00:00,2023-08-08 13:42:37.317755+00:00,606.0,-331.3099999999982
HD,2023-08-03 13:31:35.112286+00:00,2023-08-03 19:55:07.664425+00:00,158.0,96.100024000004
HON,2023-08-07 13:32:18.640128+00:00,2023-08-08 19:58:29.507155+00:00,364.0,-4.889963999996326
HUM,2023-08-07 13:33:02.192890+00:00,2023-08-08 19:20:20.445273+00:00,138.0,-239.61000500000125
IBM,2023-08-02 19:58:28.725462+00:00,2023-08-08 14:15:05.371616+00:00,1378.0,-72.78343999999507
ICE,2023-08-07 13:31:39.368019+00:00,2023-08-08 14:52:05.866930+00:00,598.0,-51.149902000001376
INTC,2023-08-04 13:48:51.006222+00:00,2023-08-08 13:44:30.849065+00:00,3458.0,-198.1199999999923
INTU,2023-08-02 19:58:28.583378+00:00,2023-08-04 15:03:06.959962+00:00,259.0,-36.36006400000565
ISRG,2023-08-02 19:58:29.008758+00:00,2023-08-04 19:58:16.029969+00:00,412.0,-382.6301660000007
JNJ,2023-08-02 19:58:28.632330+00:00,2023-08-04 19:58:16.470907+00:00,767.0,632.6800919999962
JPM,2023-08-02 19:58:28.773883+00:00,2023-08-08 15:50:53.983844+00:00,1276.0,-18.89996999999491
KLAC,2023-08-07 13:33:10.459019+00:00,2023-08-08 18:18:32.806383+00:00,136.0,-317.0099999999994
KO,2023-08-03 13:31:39.844822+00:00,2023-08-04 19:58:16.624615+00:00,1690.0,651.1300000000026
LIN,2023-08-07 13:30:30.124552+00:00,2023-08-08 14:15:09.877774+00:00,180.0,-10.219999999998208
LMT,2023-08-02 19:58:31.105008+00:00,2023-08-04 19:58:17.969457+00:00,290.0,-167.37002000000064
LRCX,2023-08-07 13:31:23.536942+00:00,2023-08-08 14:11:00.942928+00:00,98.0,21.949999999998454
M,2023-08-07 13:31:11.357899+00:00,2023-08-08 13:35:43.007360+00:00,6404.0,255.7399999999983
MAR,2023-08-07 13:31:14.742866+00:00,2023-08-08 19:58:31.907979+00:00,336.0,370.21002299999924
MC,2023-08-07 13:32:46.209852+00:00,2023-08-07 13:35:22.343582+00:00,724.0,-304.33014199999985
META,2023-08-03 13:31:58.799100+00:00,2023-08-07 13:55:39.346038+00:00,194.0,-184.79318400000432
MMM,2023-08-07 13:32:14.773124+00:00,2023-08-07 19:28:12.709971+00:00,330.0,169.9500000000002
MNST,2023-08-07 13:31:28.984274+00:00,2023-08-08 13:49:41.964318+00:00,1216.0,-1071.4799680000006
MS,2023-08-02 19:58:30.295343+00:00,2023-08-04 18:55:10.049376+00:00,1458.0,-249.89000000000252
MSFT,2023-08-02 19:58:32.112987+00:00,2023-08-08 19:50:40.908166+00:00,443.0,-29.906058000003327
NEE,2023-08-07 13:32:00.968064+00:00,2023-08-08 14:46:26.750092+00:00,1000.0,19.040000000003104
NFLX,2023-08-02 19:58:31.769287+00:00,2023-08-07 14:26:40.830456+00:00,379.0,-632.2643399999959
NOW,2023-08-03 13:31:19.441110+00:00,2023-08-08 19:58:32.065154+00:00,244.0,-31.000000000004093
NTES,2023-08-08 13:32:28.014675+00:00,2023-08-08 15:15:07.500668+00:00,316.0,-134.30000000000135
ORCL,2023-08-02 19:58:29.213820+00:00,2023-08-04 19:58:17.576762+00:00,1130.0,609.8899680000075
ORLY,2023-08-07 13:32:32.004143+00:00,2023-08-08 19:58:30.785026+00:00,72.0,-183.9600000000005
PANW,2023-08-07 13:31:40.200034+00:00,2023-08-08 13:54:10.857586+00:00,316.0,260.3000230000026
PEP,2023-08-07 13:31:47.208869+00:00,2023-08-08 14:17:55.616865+00:00,370.0,-103.85992999999965
PFE,2023-08-02 19:58:30.490225+00:00,2023-08-08 19:58:30.874531+00:00,4171.0,651.9400000000014
PG,2023-08-03 13:32:08.472716+00:00,2023-08-08 19:58:30.184860+00:00,1108.0,528.2200000000023
PM,2023-08-07 13:31:55.125526+00:00,2023-08-07 19:28:11.719808+00:00,362.0,111.10992699999983
QCOM,2023-08-04 13:49:06.819721+00:00,2023-08-08 18:59:16.485308+00:00,1012.0,82.05986799999857
REGN,2023-08-07 13:31:27.046972+00:00,2023-08-08 19:58:30.116046+00:00,88.0,323.14000399999964
RTX,2023-08-03 13:31:30.960193+00:00,2023-08-08 19:58:30.070877+00:00,1422.0,-111.50976300000326
SBUX,2023-08-07 13:31:36.098610+00:00,2023-08-08 13:57:51.662925+00:00,682.0,-248.5800959999965
SCHW,2023-08-02 19:58:30.131116+00:00,2023-08-08 13:39:42.986683+00:00,3044.0,275.1803539999786
SPGI,2023-08-08 13:32:04.140936+00:00,2023-08-08 14:15:13.968489+00:00,86.0,-181.83999099999994
SPY,2023-08-02 19:58:31.648496+00:00,2023-08-08 19:58:31.902785+00:00,645.0,360.884319999993
SYK,2023-08-08 13:32:24.500226+00:00,2023-08-08 19:42:32.942931+00:00,118.0,85.54999999999933
T,2023-08-04 13:48:44.866247+00:00,2023-08-04 19:58:16.932563+00:00,3708.0,-129.78000000000054
TGT,2023-08-07 13:30:56.376223+00:00,2023-08-08 14:21:03.834061+00:00,520.0,45.49995000000291
TJX,2023-08-03 13:31:16.187056+00:00,2023-08-04 19:58:16.948762+00:00,1216.0,-232.25000000000307
TMO,2023-08-03 13:31:54.466851+00:00,2023-08-08 17:40:36.226067+00:00,312.0,-124.29000000000713
TSLA,2023-08-03 13:32:14.584105+00:00,2023-08-08 14:03:56.462089+00:00,676.0,-667.9007939999972
UBER,2023-08-07 13:32:12.849249+00:00,2023-08-08 14:08:08.493840+00:00,1530.0,-275.10850000000175
UNH,2023-08-02 19:58:31.161217+00:00,2023-08-08 14:06:51.287228+00:00,185.0,322.6166439999991
UNP,2023-08-07 13:33:31.104347+00:00,2023-08-08 17:33:48.922022+00:00,300.0,-408.7400000000006
VMW,2023-08-07 13:33:19.555975+00:00,2023-08-08 16:52:56.854396+00:00,434.0,-465.28000000000026
VRTX,2023-08-03 13:32:05.799738+00:00,2023-08-08 13:57:40.800644+00:00,494.0,508.69000000000227
WFC,2023-08-02 19:58:30.465672+00:00,2023-08-04 18:21:17.038949+00:00,2887.0,185.6599579999944
WM,2023-08-07 13:32:44.509456+00:00,2023-08-08 19:58:33.714095+00:00,428.0,185.51996600000444
