Ticker,PrimarySignal,Price,Number of Shares to Buy/Sell,BetaExposure
WDAY,Buy,230.89,56.0,0.014879538952435172
GOOG,Buy,130.27,99.0,0.01814244416557775
CHTR,Buy,428.08,30.0,0.008569943846901169
BIDU,Buy,135.34,95.0,0.009311201418326621
UPS,Buy,173.26,74.0,0.012905359241189164
MRVL,Buy,59.12,219.0,0.017345616884221624
AFL,Buy,75.73,171.0,0.012324521652486617
PAYX,Buy,123.59,104.0,0.012794082924978708
GD,Buy,223.13,58.0,0.015957728056895576
CAT,Buy,277.37,46.0,0.008397668719570196
CTAS,Buy,488.66,26.0,0.007897651665929435
HSY,Buy,220.71,58.0,0.008724467688226134
BX,Buy,97.47,132.0,0.02024243386635694
NSC,Buy,208.85,62.0,0.007338829230488741
BABA,Buy,91.59,141.0,0.00885395598251164
AXP,Buy,161.91,80.0,0.015563770510202475
LLY,Buy,546.62,23.0,0.008261978273113193
MCHP,Buy,80.89,160.0,0.007926811746190227
EW,Buy,79.86,162.0,0.02111672728546972
DUK,Buy,91.44,141.0,0.014955049264098326
AZO,Buy,2510.42,5.0,0.008541961453083953
FCX,Buy,39.85,325.0,0.017877120088000444
TEAM,Buy,193.13,67.0,0.013248035687714217
EOG,Buy,129.14,100.0,0.01362833321737399
MELI,Buy,1286.04,10.0,0.01427713456175749
NOC,Buy,423.17,30.0,0.013126541569392016
LMT,Buy,443.58,29.0,0.014137207397765762
ADM,Buy,82.43,157.0,0.010804960506957305
BAC,Buy,29.94,432.0,0.017984791402689885
PNC,Buy,123.6,104.0,0.017900109137206646
V,Buy,239.83,54.0,0.021704392048879657
PM,Buy,94.63,136.0,0.014561943891592068
FTNT,Buy,59.17,218.0,0.010835026715508402
JNJ,Buy,172.94,74.0,0.014077386841882075
RSG,Buy,146.07,88.0,0.009269759446157877
HCA,Buy,268.77,48.0,0.012487667983186063
KLAC,Buy,483.53,26.0,0.005209827569307711
MO,Buy,43.07,300.0,0.021365690898444503
VLO,Sell,131.14,98.0,-0.011095492770485316
NXPI,Sell,201.74,64.0,-0.01471401726998534
MA,Sell,394.45,32.0,-0.0204232159063035
JPM,Sell,150.83,42.0,-0.0036868719773335886
DE,Sell,431.68,30.0,-0.010536154073905544
BDX,Sell,279.66,46.0,-0.007748351114047619
HD,Sell,332.14,39.0,-0.021011502949853253
SCHW,Sell,60.97,212.0,-0.02675609009482088
